train_cycle,hits_discovered,acquisition_method,architecture,n_start,seed,dataset,enrichment,id
13,138,Similarity,gcn,16,6,ALDH1,0.9485577782435146,gcn 16 6 ALDH1
14,147,Similarity,gcn,16,6,ALDH1,0.9479909461837761,gcn 16 6 ALDH1
15,156,Similarity,gcn,16,6,ALDH1,0.9273375173710168,gcn 16 6 ALDH1
0,1,Similarity,gcn,16,6,PKM2,0,gcn 16 6 PKM2
1,3,Similarity,gcn,16,6,PKM2,0,gcn 16 6 PKM2
2,4,Similarity,gcn,16,6,PKM2,-0.7589483904710406,gcn 16 6 PKM2
3,5,Similarity,gcn,16,6,PKM2,-1.3701502055940642,gcn 16 6 PKM2
4,5,Similarity,gcn,16,6,PKM2,-1.2486145840431282,gcn 16 6 PKM2
5,5,Similarity,gcn,16,6,PKM2,-1.1468832765601793,gcn 16 6 PKM2
6,5,Similarity,gcn,16,6,PKM2,-1.060480277160568,gcn 16 6 PKM2
7,5,Similarity,gcn,16,6,PKM2,-0.4930919603604722,gcn 16 6 PKM2
8,5,Similarity,gcn,16,6,PKM2,-0.4608081302570748,gcn 16 6 PKM2
9,5,Similarity,gcn,16,6,PKM2,-0.4324919199224704,gcn 16 6 PKM2
10,5,Similarity,gcn,16,6,PKM2,0,gcn 16 6 PKM2
11,5,Similarity,gcn,16,6,PKM2,0,gcn 16 6 PKM2
12,6,Similarity,gcn,16,6,PKM2,-0.3651732916882675,gcn 16 6 PKM2
13,8,Similarity,gcn,16,6,PKM2,-1.04148324079885,gcn 16 6 PKM2
14,10,Similarity,gcn,16,6,PKM2,-1.6542112553566213,gcn 16 6 PKM2
15,11,Similarity,gcn,16,6,PKM2,-1.5799436267315452,gcn 16 6 PKM2
0,1,Similarity,gcn,16,6,VDR,0,gcn 16 6 VDR
