train_cycle,seed,acquisition_method,architecture,bias,metric,value
14,2,Random,mlp,random,MolWt,339.351
14,2,Random,mlp,random,MolWt,407.4700000000003
14,2,Random,mlp,random,MolWt,337.41900000000004
14,2,Random,mlp,random,MolWt,308.337
14,2,Random,mlp,random,MolWt,180.206
14,2,Random,mlp,random,MolWt,361.3760000000001
14,2,Random,mlp,random,MolWt,387.4610000000001
14,2,Random,mlp,random,MolWt,483.95500000000027
14,2,Random,mlp,random,MolWt,473.5510000000003
14,2,Random,mlp,random,MolWt,445.475
14,2,Random,mlp,random,MolWt,374.4210000000001
14,2,Random,mlp,random,MolWt,339.1540000000001
14,2,Random,mlp,random,MolWt,311.77200000000005
14,2,Random,mlp,random,MolWt,435.50500000000017
14,2,Random,mlp,random,MolWt,390.5160000000002
14,2,Random,mlp,random,MolWt,432.9290000000002
14,2,Random,mlp,random,MolWt,334.72900000000004
14,2,Random,mlp,random,MolWt,309.412
14,2,Random,mlp,random,MolWt,377.3560000000001
14,2,Random,mlp,random,MolWt,293.34900000000005
14,2,Random,mlp,random,MolWt,342.4050000000001
14,2,Random,mlp,random,MolWt,586.6460000000003
14,2,Random,mlp,random,MolWt,333.558
14,2,Random,mlp,random,MolWt,316.46900000000005
14,2,Random,mlp,random,MolWt,282.3230000000001
14,2,Random,mlp,random,MolWt,472.5750000000002
14,2,Random,mlp,random,MolWt,400.46200000000016
14,2,Random,mlp,random,MolWt,364.4740000000003
15,2,Random,mlp,random,MolWt,322.38800000000003
15,2,Random,mlp,random,MolWt,390.8660000000001
15,2,Random,mlp,random,MolWt,364.8160000000001
15,2,Random,mlp,random,MolWt,330.40800000000013
15,2,Random,mlp,random,MolWt,347.439
15,2,Random,mlp,random,MolWt,453.52300000000025
15,2,Random,mlp,random,MolWt,371.3920000000001
15,2,Random,mlp,random,MolWt,372.4100000000001
15,2,Random,mlp,random,MolWt,382.301
15,2,Random,mlp,random,MolWt,477.58300000000014
15,2,Random,mlp,random,MolWt,321.33400000000006
15,2,Random,mlp,random,MolWt,421.5410000000002
15,2,Random,mlp,random,MolWt,285.347
15,2,Random,mlp,random,MolWt,375.42
15,2,Random,mlp,random,MolWt,336.1890000000001
15,2,Random,mlp,random,MolWt,289.3310000000001
15,2,Random,mlp,random,MolWt,350.3740000000001
15,2,Random,mlp,random,MolWt,394.5210000000002
15,2,Random,mlp,random,MolWt,424.9560000000002
15,2,Random,mlp,random,MolWt,285.377
15,2,Random,mlp,random,MolWt,466.46800000000025
15,2,Random,mlp,random,MolWt,386.93000000000006
15,2,Random,mlp,random,MolWt,249.291
15,2,Random,mlp,random,MolWt,396.5150000000001
15,2,Random,mlp,random,MolWt,297.19800000000004
15,2,Random,mlp,random,MolWt,345.25000000000017
15,2,Random,mlp,random,MolWt,339.351
15,2,Random,mlp,random,MolWt,407.4700000000003
15,2,Random,mlp,random,MolWt,337.41900000000004
15,2,Random,mlp,random,MolWt,308.337
15,2,Random,mlp,random,MolWt,180.206
15,2,Random,mlp,random,MolWt,361.3760000000001
15,2,Random,mlp,random,MolWt,387.4610000000001
15,2,Random,mlp,random,MolWt,483.95500000000027
15,2,Random,mlp,random,MolWt,473.5510000000003
15,2,Random,mlp,random,MolWt,445.475
15,2,Random,mlp,random,MolWt,374.4210000000001
15,2,Random,mlp,random,MolWt,339.1540000000001
15,2,Random,mlp,random,MolWt,311.77200000000005
15,2,Random,mlp,random,MolWt,435.50500000000017
15,2,Random,mlp,random,MolWt,390.5160000000002
15,2,Random,mlp,random,MolWt,432.9290000000002
15,2,Random,mlp,random,MolWt,334.72900000000004
15,2,Random,mlp,random,MolWt,309.412
15,2,Random,mlp,random,MolWt,377.3560000000001
15,2,Random,mlp,random,MolWt,293.34900000000005
15,2,Random,mlp,random,MolWt,342.4050000000001
15,2,Random,mlp,random,MolWt,586.6460000000003
15,2,Random,mlp,random,MolWt,333.558
15,2,Random,mlp,random,MolWt,316.46900000000005
15,2,Random,mlp,random,MolWt,282.3230000000001
15,2,Random,mlp,random,MolWt,472.5750000000002
15,2,Random,mlp,random,MolWt,400.46200000000016
15,2,Random,mlp,random,MolWt,364.4740000000003
15,2,Random,mlp,random,MolWt,384.2880000000001
15,2,Random,mlp,random,MolWt,314.41400000000004
0,2,BALD (least mutual information),mlp,random,MolWt,322.38800000000003
0,2,BALD (least mutual information),mlp,random,MolWt,390.8660000000001
0,2,BALD (least mutual information),mlp,random,MolWt,364.8160000000001
0,2,BALD (least mutual information),mlp,random,MolWt,330.40800000000013
0,2,BALD (least mutual information),mlp,random,MolWt,347.439
0,2,BALD (least mutual information),mlp,random,MolWt,453.52300000000025
0,2,BALD (least mutual information),mlp,random,MolWt,371.3920000000001
0,2,BALD (least mutual information),mlp,random,MolWt,372.4100000000001
0,2,BALD (least mutual information),mlp,random,MolWt,382.301
0,2,BALD (least mutual information),mlp,random,MolWt,477.58300000000014
1,2,BALD (least mutual information),mlp,random,MolWt,322.38800000000003
1,2,BALD (least mutual information),mlp,random,MolWt,390.8660000000001
1,2,BALD (least mutual information),mlp,random,MolWt,364.8160000000001
1,2,BALD (least mutual information),mlp,random,MolWt,330.40800000000013
